No.,分類,書名,著者名,出版年,リリース年,出版社名,ISBN,URL
70,実験医学,実験医学 （Vol.27 No.18 2009年11月号）,,2009,2012,羊土社,9784758100533,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003210
71,実験医学,実験医学 （Vol.27 No.19 2009年12月号）,,2009,2012,羊土社,9784758100540,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003211
72,実験医学,実験医学 （Vol.27 No.2 2009年増刊号）,,2009,2012,羊土社,9784758102964,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003194
73,実験医学,実験医学 （Vol.27 No.20 2009年増刊号）,,2009,2012,羊土社,9784758103039,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003212
74,実験医学,実験医学 （Vol.27 No.3 2009年2月号）,,2009,2012,羊土社,9784758100441,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003195
75,実験医学,実験医学 （Vol.27 No.4 2009年3月号）,,2009,2012,羊土社,9784758100458,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003196
76,実験医学,実験医学 （Vol.27 No.5 2009年増刊号）,,2009,2012,羊土社,9784758102971,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003197
77,実験医学,実験医学 （Vol.27 No.6 2009年4月号）,,2009,2012,羊土社,9784758100465,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003198
78,実験医学,実験医学 （Vol.27 No.7 2009年増刊号）,,2009,2012,羊土社,9784758102988,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003199
79,実験医学,実験医学 （Vol.27 No.8 2009年5月号）,,2009,2012,羊土社,9784758100472,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003200
80,実験医学,実験医学 （Vol.27 No.9 2009年6月号）,,2009,2012,羊土社,9784758100489,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000003201
81,実験医学,実験医学 （Vol.28 No.1 2010年1月号）,,2010,2013,羊土社,9784758100557,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009055
82,実験医学,実験医学 （Vol.28 No.10 2010年増刊号）,,2010,2013,羊土社,9784758103077,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009064
83,実験医学,実験医学 （Vol.28 No.11 2010年7月号）,,2010,2013,羊土社,9784758100618,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009065
84,実験医学,実験医学 （Vol.28 No.12 2010年増刊号）,,2010,2013,羊土社,9784758103084,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009066
85,実験医学,実験医学 （Vol.28 No.13 2010年8月号）,,2010,2013,羊土社,9784758100625,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009067
86,実験医学,実験医学 （Vol.28 No.14 2010年9月号）,,2010,2013,羊土社,9784758100632,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009068
87,実験医学,実験医学 （Vol.28 No.15 2010年増刊号）,,2010,2013,羊土社,9784758103091,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009069
88,実験医学,実験医学 （Vol.28 No.16 2010年10月号）,,2010,2013,羊土社,9784758100649,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009070
89,実験医学,実験医学 （Vol.28 No.17 2010年増刊号）,,2010,2013,羊土社,9784758103107,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009071
90,実験医学,実験医学 （Vol.28 No.18 2010年11月号）,,2010,2013,羊土社,9784758100656,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009072
91,実験医学,実験医学 （Vol.28 No.19 2010年12月号）,,2010,2013,羊土社,9784758100663,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009073
92,実験医学,実験医学 （Vol.28 No.2 2010年増刊号）,,2010,2013,羊土社,9784758103046,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009056
93,実験医学,実験医学 （Vol.28 No.20 2010年増刊号）,,2010,2013,羊土社,9784758103114,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009074
94,実験医学,実験医学 （Vol.28 No.3 2010年2月号）,,2010,2013,羊土社,9784758100564,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000009057
